,candidate,election_year,recipient_state,disbursement_amount
0,anderson_80,1980,OH,900.0
1,anderson_80,1980,DC,538994.0
2,anderson_80,1980,CA,6005.0
3,anderson_80,1980,OR,765.0
4,anderson_80,1980,MA,875.0
5,anderson_80,1980,NV,70.0
6,anderson_80,1980,WA,365.0
7,anderson_80,1980,LA,20.0
8,anderson_80,1980,TX,1100.0
9,anderson_80,1980,IN,70.0
10,anderson_80,1980,NY,2490.0
11,anderson_80,1980,MI,170.0
12,anderson_80,1980,VT,175.0
13,anderson_80,1980,NH,850.0
14,anderson_80,1980,VA,475.0
15,anderson_80,1980,FL,655.0
16,anderson_80,1980,ME,180.0
17,anderson_80,1980,MO,325.0
18,anderson_80,1980,WY,10.0
19,anderson_80,1980,NJ,965.0
20,anderson_80,1980,PA,820.0
21,anderson_80,1980,MN,750.0
22,anderson_80,1980,ND,25.0
23,anderson_80,1980,WV,25.0
24,anderson_80,1980,KS,145.0
25,anderson_80,1980,CT,1270.0
26,anderson_80,1980,AZ,75.0
27,anderson_80,1980,MD,1235.0
28,anderson_80,1980,MS,250.0
29,anderson_80,1980,WI,655.0
30,anderson_80,1980,GA,50.0
31,anderson_80,1980,IL,160.0
32,anderson_80,1980,AL,1000.0
33,anderson_80,1980,CO,115.0
34,anderson_80,1980,RI,100.0
35,anderson_80,1980,UT,100.0
36,anderson_80,1980,IA,50.0
37,anderson_80,1980,TN,0.0
38,anderson_80,1980,NC,0.0
39,anderson_80,1980,KY,0.0
40,anderson_80,1980,OK,0.0
41,anderson_80,1980,MT,0.0
42,anderson_80,1980,ID,0.0
43,anderson_80,1980,HI,0.0
44,anderson_80,1980,SD,0.0
45,anderson_80,1980,SC,0.0
46,anderson_80,1980,AR,0.0
47,anderson_80,1980,NE,0.0
48,anderson_80,1980,DE,0.0
49,anderson_80,1980,NM,0.0
50,anderson_80,1980,AK,0.0
51,carter_80,1980,OH,0.0
52,carter_80,1980,DC,10077.0
53,carter_80,1980,CA,-1000.0
54,carter_80,1980,OR,0.0
55,carter_80,1980,MA,0.0
56,carter_80,1980,NV,0.0
57,carter_80,1980,WA,0.0
58,carter_80,1980,LA,1500.0
59,carter_80,1980,TX,-375.0
60,carter_80,1980,IN,0.0
61,carter_80,1980,NY,0.0
62,carter_80,1980,MI,-5.0
63,carter_80,1980,VT,0.0
64,carter_80,1980,NH,0.0
65,carter_80,1980,VA,0.0
66,carter_80,1980,FL,1970.0
67,carter_80,1980,ME,-2446.0
68,carter_80,1980,MO,-200.0
69,carter_80,1980,WY,0.0
70,carter_80,1980,NJ,-400.0
71,carter_80,1980,PA,0.0
72,carter_80,1980,MN,-10.0
73,carter_80,1980,ND,0.0
74,carter_80,1980,WV,0.0
75,carter_80,1980,KS,0.0
76,carter_80,1980,CT,0.0
77,carter_80,1980,AZ,0.0
78,carter_80,1980,MD,-1075.0
79,carter_80,1980,MS,0.0
80,carter_80,1980,WI,0.0
81,carter_80,1980,GA,-100.0
82,carter_80,1980,IL,0.0
83,carter_80,1980,AL,0.0
84,carter_80,1980,CO,0.0
85,carter_80,1980,RI,0.0
86,carter_80,1980,UT,0.0
87,carter_80,1980,IA,0.0
88,carter_80,1980,TN,3815.0
89,carter_80,1980,NC,-500.0
90,carter_80,1980,KY,-6.0
91,carter_80,1980,OK,0.0
92,carter_80,1980,MT,0.0
93,carter_80,1980,ID,0.0
94,carter_80,1980,HI,0.0
95,carter_80,1980,SD,0.0
96,carter_80,1980,SC,0.0
97,carter_80,1980,AR,0.0
98,carter_80,1980,NE,0.0
99,carter_80,1980,DE,0.0
100,carter_80,1980,NM,0.0
101,carter_80,1980,AK,0.0
102,clark_80,1980,OH,0.0
103,clark_80,1980,DC,10000.0
104,clark_80,1980,CA,790.0
105,clark_80,1980,OR,0.0
106,clark_80,1980,MA,0.0
107,clark_80,1980,NV,0.0
108,clark_80,1980,WA,0.0
109,clark_80,1980,LA,0.0
110,clark_80,1980,TX,0.0
111,clark_80,1980,IN,0.0
112,clark_80,1980,NY,1400.0
113,clark_80,1980,MI,0.0
114,clark_80,1980,VT,0.0
115,clark_80,1980,NH,0.0
116,clark_80,1980,VA,200.0
117,clark_80,1980,FL,0.0
118,clark_80,1980,ME,300.0
119,clark_80,1980,MO,0.0
120,clark_80,1980,WY,0.0
121,clark_80,1980,NJ,0.0
122,clark_80,1980,PA,300.0
123,clark_80,1980,MN,888.0
124,clark_80,1980,ND,0.0
125,clark_80,1980,WV,0.0
126,clark_80,1980,KS,0.0
127,clark_80,1980,CT,0.0
128,clark_80,1980,AZ,1350.0
129,clark_80,1980,MD,0.0
130,clark_80,1980,MS,0.0
131,clark_80,1980,WI,1325.0
132,clark_80,1980,GA,235.0
133,clark_80,1980,IL,0.0
134,clark_80,1980,AL,0.0
135,clark_80,1980,CO,0.0
136,clark_80,1980,RI,0.0
137,clark_80,1980,UT,0.0
138,clark_80,1980,IA,0.0
139,clark_80,1980,TN,0.0
140,clark_80,1980,NC,0.0
141,clark_80,1980,KY,216.0
142,clark_80,1980,OK,83.0
143,clark_80,1980,MT,288.0
144,clark_80,1980,ID,0.0
145,clark_80,1980,HI,0.0
146,clark_80,1980,SD,0.0
147,clark_80,1980,SC,0.0
148,clark_80,1980,AR,0.0
149,clark_80,1980,NE,0.0
150,clark_80,1980,DE,0.0
151,clark_80,1980,NM,0.0
152,clark_80,1980,AK,0.0
153,reagan_80,1980,OH,0.0
154,reagan_80,1980,DC,400.0
155,reagan_80,1980,CA,19137.0
156,reagan_80,1980,OR,0.0
157,reagan_80,1980,MA,350.0
158,reagan_80,1980,NV,350.0
159,reagan_80,1980,WA,225.0
160,reagan_80,1980,LA,0.0
161,reagan_80,1980,TX,1870.0
162,reagan_80,1980,IN,0.0
163,reagan_80,1980,NY,2150.0
164,reagan_80,1980,MI,735.0
165,reagan_80,1980,VT,0.0
166,reagan_80,1980,NH,0.0
167,reagan_80,1980,VA,1286600.0
168,reagan_80,1980,FL,1745.0
169,reagan_80,1980,ME,300.0
170,reagan_80,1980,MO,200.0
171,reagan_80,1980,WY,0.0
172,reagan_80,1980,NJ,1250.0
173,reagan_80,1980,PA,3000.0
174,reagan_80,1980,MN,0.0
175,reagan_80,1980,ND,300.0
176,reagan_80,1980,WV,0.0
177,reagan_80,1980,KS,0.0
178,reagan_80,1980,CT,50.0
179,reagan_80,1980,AZ,1025.0
180,reagan_80,1980,MD,755.0
181,reagan_80,1980,MS,200.0
182,reagan_80,1980,WI,0.0
183,reagan_80,1980,GA,550.0
184,reagan_80,1980,IL,4645.0
185,reagan_80,1980,AL,100.0
186,reagan_80,1980,CO,1085.0
187,reagan_80,1980,RI,0.0
188,reagan_80,1980,UT,150.0
189,reagan_80,1980,IA,0.0
190,reagan_80,1980,TN,0.0
191,reagan_80,1980,NC,0.0
192,reagan_80,1980,KY,0.0
193,reagan_80,1980,OK,100.0
194,reagan_80,1980,MT,50.0
195,reagan_80,1980,ID,200.0
196,reagan_80,1980,HI,150.0
197,reagan_80,1980,SD,175.0
198,reagan_80,1980,SC,200.0
199,reagan_80,1980,AR,100.0
200,reagan_80,1980,NE,0.0
201,reagan_80,1980,DE,0.0
202,reagan_80,1980,NM,0.0
203,reagan_80,1980,AK,0.0
204,mondale_84,1984,OH,0.0
205,mondale_84,1984,DC,54139.0
206,mondale_84,1984,CA,1700.0
207,mondale_84,1984,OR,0.0
208,mondale_84,1984,MA,500.0
209,mondale_84,1984,NV,0.0
210,mondale_84,1984,WA,0.0
211,mondale_84,1984,LA,0.0
212,mondale_84,1984,TX,1250.0
213,mondale_84,1984,IN,0.0
214,mondale_84,1984,NY,3025.0
215,mondale_84,1984,MI,0.0
216,mondale_84,1984,VT,0.0
217,mondale_84,1984,NH,0.0
218,mondale_84,1984,VA,75.0
219,mondale_84,1984,FL,400.0
220,mondale_84,1984,ME,0.0
221,mondale_84,1984,MO,0.0
222,mondale_84,1984,WY,0.0
223,mondale_84,1984,NJ,0.0
224,mondale_84,1984,PA,600.0
225,mondale_84,1984,MN,4800.0
226,mondale_84,1984,ND,0.0
227,mondale_84,1984,WV,0.0
228,mondale_84,1984,KS,0.0
229,mondale_84,1984,CT,270.0
230,mondale_84,1984,AZ,100.0
231,mondale_84,1984,MD,0.0
232,mondale_84,1984,MS,0.0
233,mondale_84,1984,WI,0.0
234,mondale_84,1984,GA,0.0
235,mondale_84,1984,IL,1000.0
236,mondale_84,1984,AL,0.0
237,mondale_84,1984,CO,0.0
238,mondale_84,1984,RI,0.0
239,mondale_84,1984,UT,0.0
240,mondale_84,1984,IA,0.0
241,mondale_84,1984,TN,100.0
242,mondale_84,1984,NC,40.0
243,mondale_84,1984,KY,0.0
244,mondale_84,1984,OK,0.0
245,mondale_84,1984,MT,0.0
246,mondale_84,1984,ID,0.0
247,mondale_84,1984,HI,0.0
248,mondale_84,1984,SD,0.0
249,mondale_84,1984,SC,0.0
250,mondale_84,1984,AR,0.0
251,mondale_84,1984,NE,0.0
252,mondale_84,1984,DE,0.0
253,mondale_84,1984,NM,0.0
254,mondale_84,1984,AK,0.0
255,reagan_84,1984,OH,600.0
256,reagan_84,1984,DC,175000.0
257,reagan_84,1984,CA,206958.0
258,reagan_84,1984,OR,1500.0
259,reagan_84,1984,MA,0.0
260,reagan_84,1984,NV,1000.0
261,reagan_84,1984,WA,2000.0
262,reagan_84,1984,LA,1000.0
263,reagan_84,1984,TX,3000.0
264,reagan_84,1984,IN,500.0
265,reagan_84,1984,NY,1000.0
266,reagan_84,1984,MI,2000.0
267,reagan_84,1984,VT,0.0
268,reagan_84,1984,NH,0.0
269,reagan_84,1984,VA,4000.0
270,reagan_84,1984,FL,6000.0
271,reagan_84,1984,ME,0.0
272,reagan_84,1984,MO,25.0
273,reagan_84,1984,WY,0.0
274,reagan_84,1984,NJ,0.0
275,reagan_84,1984,PA,250.0
276,reagan_84,1984,MN,0.0
277,reagan_84,1984,ND,0.0
278,reagan_84,1984,WV,0.0
279,reagan_84,1984,KS,25.0
280,reagan_84,1984,CT,0.0
281,reagan_84,1984,AZ,0.0
282,reagan_84,1984,MD,0.0
283,reagan_84,1984,MS,0.0
284,reagan_84,1984,WI,0.0
285,reagan_84,1984,GA,0.0
286,reagan_84,1984,IL,525.0
287,reagan_84,1984,AL,0.0
288,reagan_84,1984,CO,0.0
289,reagan_84,1984,RI,0.0
290,reagan_84,1984,UT,0.0
291,reagan_84,1984,IA,0.0
292,reagan_84,1984,TN,3000.0
293,reagan_84,1984,NC,0.0
294,reagan_84,1984,KY,1000.0
295,reagan_84,1984,OK,500.0
296,reagan_84,1984,MT,0.0
297,reagan_84,1984,ID,0.0
298,reagan_84,1984,HI,0.0
299,reagan_84,1984,SD,0.0
300,reagan_84,1984,SC,0.0
301,reagan_84,1984,AR,0.0
302,reagan_84,1984,NE,0.0
303,reagan_84,1984,DE,0.0
304,reagan_84,1984,NM,0.0
305,reagan_84,1984,AK,0.0
306,bush_88,1988,OH,4060.0
307,bush_88,1988,DC,2858885.0
308,bush_88,1988,CA,14397.0
309,bush_88,1988,OR,1884.0
310,bush_88,1988,MA,4215.0
311,bush_88,1988,NV,0.0
312,bush_88,1988,WA,65.0
313,bush_88,1988,LA,300.0
314,bush_88,1988,TX,21442.0
315,bush_88,1988,IN,2200.0
316,bush_88,1988,NY,22631.0
317,bush_88,1988,MI,6580.0
318,bush_88,1988,VT,0.0
319,bush_88,1988,NH,125.0
320,bush_88,1988,VA,1455.0
321,bush_88,1988,FL,13172.0
322,bush_88,1988,ME,285.0
323,bush_88,1988,MO,2035.0
324,bush_88,1988,WY,300.0
325,bush_88,1988,NJ,8800.0
326,bush_88,1988,PA,1880.0
327,bush_88,1988,MN,2220.0
328,bush_88,1988,ND,250.0
329,bush_88,1988,WV,1015.0
330,bush_88,1988,KS,1350.0
331,bush_88,1988,CT,10770.0
332,bush_88,1988,AZ,430.0
333,bush_88,1988,MD,2400.0
334,bush_88,1988,MS,200.0
335,bush_88,1988,WI,115.0
336,bush_88,1988,GA,3305.0
337,bush_88,1988,IL,3080.0
338,bush_88,1988,AL,855.0
339,bush_88,1988,CO,675.0
340,bush_88,1988,RI,1125.0
341,bush_88,1988,UT,1010.0
342,bush_88,1988,IA,200.0
343,bush_88,1988,TN,965.0
344,bush_88,1988,NC,1486.0
345,bush_88,1988,KY,4230.0
346,bush_88,1988,OK,1000.0
347,bush_88,1988,MT,0.0
348,bush_88,1988,ID,25.0
349,bush_88,1988,HI,38.0
350,bush_88,1988,SD,0.0
351,bush_88,1988,SC,405.0
352,bush_88,1988,AR,700.0
353,bush_88,1988,NE,150.0
354,bush_88,1988,DE,2500.0
355,bush_88,1988,NM,1270.0
356,bush_88,1988,AK,300.0
357,dukakis_88,1988,OH,1000.0
358,dukakis_88,1988,DC,2000.0
359,dukakis_88,1988,CA,2750.0
360,dukakis_88,1988,OR,0.0
361,dukakis_88,1988,MA,3104029.0
362,dukakis_88,1988,NV,0.0
363,dukakis_88,1988,WA,0.0
364,dukakis_88,1988,LA,0.0
365,dukakis_88,1988,TX,3250.0
366,dukakis_88,1988,IN,0.0
367,dukakis_88,1988,NY,4100.0
368,dukakis_88,1988,MI,0.0
369,dukakis_88,1988,VT,0.0
370,dukakis_88,1988,NH,0.0
371,dukakis_88,1988,VA,1000.0
372,dukakis_88,1988,FL,6000.0
373,dukakis_88,1988,ME,0.0
374,dukakis_88,1988,MO,0.0
375,dukakis_88,1988,WY,0.0
376,dukakis_88,1988,NJ,1000.0
377,dukakis_88,1988,PA,0.0
378,dukakis_88,1988,MN,0.0
379,dukakis_88,1988,ND,0.0
380,dukakis_88,1988,WV,0.0
381,dukakis_88,1988,KS,0.0
382,dukakis_88,1988,CT,0.0
383,dukakis_88,1988,AZ,0.0
384,dukakis_88,1988,MD,0.0
385,dukakis_88,1988,MS,0.0
386,dukakis_88,1988,WI,0.0
387,dukakis_88,1988,GA,0.0
388,dukakis_88,1988,IL,0.0
389,dukakis_88,1988,AL,0.0
390,dukakis_88,1988,CO,0.0
391,dukakis_88,1988,RI,0.0
392,dukakis_88,1988,UT,0.0
393,dukakis_88,1988,IA,0.0
394,dukakis_88,1988,TN,0.0
395,dukakis_88,1988,NC,0.0
396,dukakis_88,1988,KY,0.0
397,dukakis_88,1988,OK,0.0
398,dukakis_88,1988,MT,0.0
399,dukakis_88,1988,ID,0.0
400,dukakis_88,1988,HI,0.0
401,dukakis_88,1988,SD,0.0
402,dukakis_88,1988,SC,0.0
403,dukakis_88,1988,AR,0.0
404,dukakis_88,1988,NE,0.0
405,dukakis_88,1988,DE,0.0
406,dukakis_88,1988,NM,0.0
407,dukakis_88,1988,AK,0.0
408,clinton_92,1992,OH,3650.0
409,clinton_92,1992,DC,4900.0
410,clinton_92,1992,CA,17090.0
411,clinton_92,1992,OR,2525.0
412,clinton_92,1992,MA,4425.0
413,clinton_92,1992,NV,1000.0
414,clinton_92,1992,WA,2980.0
415,clinton_92,1992,LA,1000.0
416,clinton_92,1992,TX,4575.0
417,clinton_92,1992,IN,1750.0
418,clinton_92,1992,NY,29141.0
419,clinton_92,1992,MI,1500.0
420,clinton_92,1992,VT,0.0
421,clinton_92,1992,NH,0.0
422,clinton_92,1992,VA,1300.0
423,clinton_92,1992,FL,6872.0
424,clinton_92,1992,ME,2800.0
425,clinton_92,1992,MO,2050.0
426,clinton_92,1992,WY,0.0
427,clinton_92,1992,NJ,4600.0
428,clinton_92,1992,PA,1675.0
429,clinton_92,1992,MN,500.0
430,clinton_92,1992,ND,0.0
431,clinton_92,1992,WV,1000.0
432,clinton_92,1992,KS,0.0
433,clinton_92,1992,CT,2250.0
434,clinton_92,1992,AZ,100.0
435,clinton_92,1992,MD,3650.0
436,clinton_92,1992,MS,0.0
437,clinton_92,1992,WI,0.0
438,clinton_92,1992,GA,2100.0
439,clinton_92,1992,IL,3100.0
440,clinton_92,1992,AL,1800.0
441,clinton_92,1992,CO,1000.0
442,clinton_92,1992,RI,179.0
443,clinton_92,1992,UT,700.0
444,clinton_92,1992,IA,0.0
445,clinton_92,1992,TN,2250.0
446,clinton_92,1992,NC,2250.0
447,clinton_92,1992,KY,0.0
448,clinton_92,1992,OK,6000.0
449,clinton_92,1992,MT,0.0
450,clinton_92,1992,ID,50.0
451,clinton_92,1992,HI,1000.0
452,clinton_92,1992,SD,1000.0
453,clinton_92,1992,SC,350.0
454,clinton_92,1992,AR,2162671.0
455,clinton_92,1992,NE,0.0
456,clinton_92,1992,DE,0.0
457,clinton_92,1992,NM,2000.0
458,clinton_92,1992,AK,0.0
459,bush_92,1992,OH,1600.0
460,bush_92,1992,DC,253000.0
461,bush_92,1992,CA,10161.0
462,bush_92,1992,OR,0.0
463,bush_92,1992,MA,1100.0
464,bush_92,1992,NV,1000.0
465,bush_92,1992,WA,0.0
466,bush_92,1992,LA,500.0
467,bush_92,1992,TX,7225.0
468,bush_92,1992,IN,0.0
469,bush_92,1992,NY,10500.0
470,bush_92,1992,MI,2000.0
471,bush_92,1992,VT,0.0
472,bush_92,1992,NH,0.0
473,bush_92,1992,VA,500586.0
474,bush_92,1992,FL,7640.0
475,bush_92,1992,ME,0.0
476,bush_92,1992,MO,0.0
477,bush_92,1992,WY,35.0
478,bush_92,1992,NJ,2000.0
479,bush_92,1992,PA,6000.0
480,bush_92,1992,MN,2000.0
481,bush_92,1992,ND,1000.0
482,bush_92,1992,WV,0.0
483,bush_92,1992,KS,250.0
484,bush_92,1992,CT,2000.0
485,bush_92,1992,AZ,1000.0
486,bush_92,1992,MD,2280.0
487,bush_92,1992,MS,0.0
488,bush_92,1992,WI,2000.0
489,bush_92,1992,GA,0.0
490,bush_92,1992,IL,1000.0
491,bush_92,1992,AL,0.0
492,bush_92,1992,CO,1500.0
493,bush_92,1992,RI,0.0
494,bush_92,1992,UT,0.0
495,bush_92,1992,IA,0.0
496,bush_92,1992,TN,0.0
497,bush_92,1992,NC,1000.0
498,bush_92,1992,KY,1000.0
499,bush_92,1992,OK,1000.0
500,bush_92,1992,MT,0.0
501,bush_92,1992,ID,0.0
502,bush_92,1992,HI,0.0
503,bush_92,1992,SD,1000.0
504,bush_92,1992,SC,0.0
505,bush_92,1992,AR,0.0
506,bush_92,1992,NE,250.0
507,bush_92,1992,DE,25.0
508,bush_92,1992,NM,2000.0
509,bush_92,1992,AK,0.0
510,perot_92,1992,OH,36461.0
511,perot_92,1992,DC,4094.0
512,perot_92,1992,CA,216562.0
513,perot_92,1992,OR,22612.0
514,perot_92,1992,MA,34192.0
515,perot_92,1992,NV,10250.0
516,perot_92,1992,WA,61509.0
517,perot_92,1992,LA,7683.0
518,perot_92,1992,TX,68693.0
519,perot_92,1992,IN,6145.0
520,perot_92,1992,NY,101621.0
521,perot_92,1992,MI,29515.0
522,perot_92,1992,VT,6977.0
523,perot_92,1992,NH,2652.0
524,perot_92,1992,VA,53196.0
525,perot_92,1992,FL,2197.0
526,perot_92,1992,ME,12872.0
527,perot_92,1992,MO,34446.0
528,perot_92,1992,WY,4226.0
529,perot_92,1992,NJ,14538.0
530,perot_92,1992,PA,88443.0
531,perot_92,1992,MN,18957.0
532,perot_92,1992,ND,3097.0
533,perot_92,1992,WV,2391.0
534,perot_92,1992,KS,14856.0
535,perot_92,1992,CT,32966.0
536,perot_92,1992,AZ,19982.0
537,perot_92,1992,MD,17043.0
538,perot_92,1992,MS,3755.0
539,perot_92,1992,WI,41251.0
540,perot_92,1992,GA,23227.0
541,perot_92,1992,IL,32341.0
542,perot_92,1992,AL,11899.0
543,perot_92,1992,CO,17065.0
544,perot_92,1992,RI,5961.0
545,perot_92,1992,UT,2929.0
546,perot_92,1992,IA,1958.0
547,perot_92,1992,TN,16064.0
548,perot_92,1992,NC,19214.0
549,perot_92,1992,KY,11437.0
550,perot_92,1992,OK,3880.0
551,perot_92,1992,MT,4503.0
552,perot_92,1992,ID,6052.0
553,perot_92,1992,HI,10470.0
554,perot_92,1992,SD,4965.0
555,perot_92,1992,SC,4842.0
556,perot_92,1992,AR,19935.0
557,perot_92,1992,NE,3132.0
558,perot_92,1992,DE,2592.0
559,perot_92,1992,NM,15393.0
560,perot_92,1992,AK,1817.0
561,clinton_96,1996,OH,1045.0
562,clinton_96,1996,DC,1908313.0
563,clinton_96,1996,CA,11985.0
564,clinton_96,1996,OR,0.0
565,clinton_96,1996,MA,3775.0
566,clinton_96,1996,NV,0.0
567,clinton_96,1996,WA,705.0
568,clinton_96,1996,LA,50.0
569,clinton_96,1996,TX,1935.0
570,clinton_96,1996,IN,50.0
571,clinton_96,1996,NY,8400.0
572,clinton_96,1996,MI,625.0
573,clinton_96,1996,VT,35.0
574,clinton_96,1996,NH,0.0
575,clinton_96,1996,VA,623.0
576,clinton_96,1996,FL,7445.0
577,clinton_96,1996,ME,0.0
578,clinton_96,1996,MO,100.0
579,clinton_96,1996,WY,50.0
580,clinton_96,1996,NJ,640.0
581,clinton_96,1996,PA,850.0
582,clinton_96,1996,MN,100.0
583,clinton_96,1996,ND,0.0
584,clinton_96,1996,WV,0.0
585,clinton_96,1996,KS,250.0
586,clinton_96,1996,CT,0.0
587,clinton_96,1996,AZ,0.0
588,clinton_96,1996,MD,100.0
589,clinton_96,1996,MS,0.0
590,clinton_96,1996,WI,0.0
591,clinton_96,1996,GA,450.0
592,clinton_96,1996,IL,810.0
593,clinton_96,1996,AL,620.0
594,clinton_96,1996,CO,0.0
595,clinton_96,1996,RI,0.0
596,clinton_96,1996,UT,0.0
597,clinton_96,1996,IA,250.0
598,clinton_96,1996,TN,1525.0
599,clinton_96,1996,NC,250.0
600,clinton_96,1996,KY,25.0
601,clinton_96,1996,OK,0.0
602,clinton_96,1996,MT,100.0
603,clinton_96,1996,ID,100.0
604,clinton_96,1996,HI,0.0
605,clinton_96,1996,SD,0.0
606,clinton_96,1996,SC,1025.0
607,clinton_96,1996,AR,4051733.0
608,clinton_96,1996,NE,375.0
609,clinton_96,1996,DE,0.0
610,clinton_96,1996,NM,120.0
611,clinton_96,1996,AK,0.0
612,dole_96,1996,OH,1556.0
613,dole_96,1996,DC,10148317.0
614,dole_96,1996,CA,3153.0
615,dole_96,1996,OR,0.0
616,dole_96,1996,MA,1000.0
617,dole_96,1996,NV,0.0
618,dole_96,1996,WA,250.0
619,dole_96,1996,LA,0.0
620,dole_96,1996,TX,7606.0
621,dole_96,1996,IN,350.0
622,dole_96,1996,NY,2445.0
623,dole_96,1996,MI,1703.0
624,dole_96,1996,VT,0.0
625,dole_96,1996,NH,0.0
626,dole_96,1996,VA,3145.0
627,dole_96,1996,FL,3333.0
628,dole_96,1996,ME,462.0
629,dole_96,1996,MO,3750.0
630,dole_96,1996,WY,219.0
631,dole_96,1996,NJ,4100.0
632,dole_96,1996,PA,1403.0
633,dole_96,1996,MN,1270.0
634,dole_96,1996,ND,0.0
635,dole_96,1996,WV,0.0
636,dole_96,1996,KS,1612.0
637,dole_96,1996,CT,200.0
638,dole_96,1996,AZ,500.0
639,dole_96,1996,MD,50.0
640,dole_96,1996,MS,450.0
641,dole_96,1996,WI,0.0
642,dole_96,1996,GA,435.0
643,dole_96,1996,IL,5605.0
644,dole_96,1996,AL,923.0
645,dole_96,1996,CO,2333.0
646,dole_96,1996,RI,1000.0
647,dole_96,1996,UT,0.0
648,dole_96,1996,IA,1450.0
649,dole_96,1996,TN,0.0
650,dole_96,1996,NC,305.0
651,dole_96,1996,KY,400.0
652,dole_96,1996,OK,1550.0
653,dole_96,1996,MT,0.0
654,dole_96,1996,ID,0.0
655,dole_96,1996,HI,140.0
656,dole_96,1996,SD,0.0
657,dole_96,1996,SC,0.0
658,dole_96,1996,AR,0.0
659,dole_96,1996,NE,2158.0
660,dole_96,1996,DE,0.0
661,dole_96,1996,NM,0.0
662,dole_96,1996,AK,0.0
663,perot_96,1996,OH,1065.0
664,perot_96,1996,DC,0.0
665,perot_96,1996,CA,8139.0
666,perot_96,1996,OR,30.0
667,perot_96,1996,MA,4291.0
668,perot_96,1996,NV,150.0
669,perot_96,1996,WA,100.0
670,perot_96,1996,LA,1828.0
671,perot_96,1996,TX,1596.0
672,perot_96,1996,IN,294.0
673,perot_96,1996,NY,1289.0
674,perot_96,1996,MI,971.0
675,perot_96,1996,VT,0.0
676,perot_96,1996,NH,0.0
677,perot_96,1996,VA,1023.0
678,perot_96,1996,FL,1673.0
679,perot_96,1996,ME,2429.0
680,perot_96,1996,MO,700.0
681,perot_96,1996,WY,0.0
682,perot_96,1996,NJ,20.0
683,perot_96,1996,PA,1737.0
684,perot_96,1996,MN,100.0
685,perot_96,1996,ND,0.0
686,perot_96,1996,WV,0.0
687,perot_96,1996,KS,0.0
688,perot_96,1996,CT,195.0
689,perot_96,1996,AZ,443.0
690,perot_96,1996,MD,420.0
691,perot_96,1996,MS,0.0
692,perot_96,1996,WI,906.0
693,perot_96,1996,GA,75.0
694,perot_96,1996,IL,485.0
695,perot_96,1996,AL,50.0
696,perot_96,1996,CO,250.0
697,perot_96,1996,RI,0.0
698,perot_96,1996,UT,0.0
699,perot_96,1996,IA,0.0
700,perot_96,1996,TN,0.0
701,perot_96,1996,NC,1261.0
702,perot_96,1996,KY,50.0
703,perot_96,1996,OK,0.0
704,perot_96,1996,MT,551.0
705,perot_96,1996,ID,15.0
706,perot_96,1996,HI,112.0
707,perot_96,1996,SD,0.0
708,perot_96,1996,SC,759.0
709,perot_96,1996,AR,0.0
710,perot_96,1996,NE,0.0
711,perot_96,1996,DE,0.0
712,perot_96,1996,NM,0.0
713,perot_96,1996,AK,547.0
714,bush_00,2000,OH,2050.0
715,bush_00,2000,DC,5650.0
716,bush_00,2000,CA,31145.0
717,bush_00,2000,OR,500.0
718,bush_00,2000,MA,3100.0
719,bush_00,2000,NV,2000.0
720,bush_00,2000,WA,3050.0
721,bush_00,2000,LA,1500.0
722,bush_00,2000,TX,60850.0
723,bush_00,2000,IN,0.0
724,bush_00,2000,NY,23400.0
725,bush_00,2000,MI,1500.0
726,bush_00,2000,VT,0.0
727,bush_00,2000,NH,150.0
728,bush_00,2000,VA,10706.0
729,bush_00,2000,FL,10850.0
730,bush_00,2000,ME,0.0
731,bush_00,2000,MO,4100.0
732,bush_00,2000,WY,0.0
733,bush_00,2000,NJ,4000.0
734,bush_00,2000,PA,7450.0
735,bush_00,2000,MN,1000.0
736,bush_00,2000,ND,0.0
737,bush_00,2000,WV,0.0
738,bush_00,2000,KS,0.0
739,bush_00,2000,CT,7350.0
740,bush_00,2000,AZ,2000.0
741,bush_00,2000,MD,5025.0
742,bush_00,2000,MS,6000.0
743,bush_00,2000,WI,0.0
744,bush_00,2000,GA,4876.0
745,bush_00,2000,IL,8350.0
746,bush_00,2000,AL,3250.0
